Hardware S/N,Dongle S/N,Software,Hardware Model,HA/HOT BACKUP,Protected Bitrate,Stream Gates,Invoice number,Invoice date,Partner name,Region,Customer Name,Region,Full Address,Support Plan,Starting Date,Valid Until,Software,Hardware, P.B ,SG, Hot backup ,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8750,4a505b44444b0706051753434f50555312101017,DVG,DVL202,YES,0,4,INV22029_INV22073,03/03/2022_19/06/22,HVS_Heartland Video Systems,USA,KPTS,USA,8710 E 32nd St'  KS_Wichita ,Gold,19 Jun 2022,18 Jul 2023,$875.00,"$1,579.00", -   ,$0.00, -   ,Gold support 13 months ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8751,465456404d400109081753434f50555312101017,DVG,DVL202,YES,0,4,INV22029_INV22073,03/03/2022_19/06/22,HVS_Heartland Video Systems,USA,KPTS,USA,8710 E 32nd St'  KS_Wichita ,Gold,19 Jun 2022,18 Jul 2023,$875.00,"$1,579.00", -   ,$0.00, -   ,Gold support 13 months ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8752,4b565a4347440208081753434f50555312101017,DVG,DVL202,YES,0,6,INV22029_INV22074,03/03/2022_19/06/22,HVS_Heartland Video Systems,USA,KWCH-TV ,USA,2815 E 37th St' KS Wichita ,Gold,19 Jun 2022,18 Jul 2023,$875.00,"$1,579.00", -   ,$0.00, -   ,Gold support 13 months ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8753,4b575744414b0407061753434f50555312101017,DVG,DVL202,YES,0,6,INV22029_INV22074,03/03/2022_19/06/22,HVS_Heartland Video Systems,USA,KWCH-TV ,USA,2815 E 37th St' KS Wichita ,Gold,19 Jun 2022,18 Jul 2023,$875.00,"$1,579.00", -   ,$0.00, -   ,Gold support 13 months ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8754,42565a434c420302080353434f50555312101017,DVG,DVL202,,0,6,INV22029_VF22077,03/03/2022_01/07/22,HVS_Heartland Video Systems,USA,WRTV-TV,USA,1330 N Meridiad ST' IN Indianapolis ,Gold,1 Jul 2022,30 Jun 2023,$875.00,"$1,579.00", -   ,$525.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8755,475b5a4741400609001753434f50555312101017,DVG,DVL202,,0,6,INV22029_VF22077,03/03/2022_01/07/22,HVS_Heartland Video Systems,USA,WRTV-TV,USA,1330 N Meridiad ST' IN Indianapolis ,Gold,1 Jul 2022,30 Jun 2023,$875.00,"$1,579.00", -   ,$525.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8756,41545e4944440505021753434f50555312101017,DVG,DVL202,,0,0,INV22029,3 03 2022,HVS_Heartland Video Systems,USA,x,x,x,x,x,x,$875.00,"$1,579.00", -   ,$0.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8757,445b56434d4b0707001753434f50555312101017,DVG,DVL202,,0,0,INV22029,3 03 2022,HVS_Heartland Video Systems,USA,x,x,x,x,x,x,$875.00,"$1,579.00", -   ,$0.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8758,425a5940474a0309050753434f50555312101017,DVG,DVL202,,0,0,INV22029_INV22127,03/03/2022_20/09/22,HVS_Heartland Video Systems,USA,WGNO ,USA,1 Galleria Blvd_Suite 850_LA Metairie,Gold,20 Sep 2022,19 Sep 2022,$875.00,"$1,579.00", -   ,$0.00, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF8759,: 425b574743470a04050253434f50555312101017,DVG,DVL202,,0,0,INV22029_INV22127,03/03/2022_20/9/22,HVS_Heartland Video Systems,USA,WGNO ,USA,1 Galleria Blvd_Suite 850_LA Metairie,Gold,20 Sep 2022,19 Sep 2022,$875.00,"$1,579.00", -   ,$0.00," 2,482.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF5552,,DVP,DVP10LS1/DVP10PI,,4,1,EI14800015  EI160015  ,30 07 2014,SAV,France,Ponant,France,31 Rue Bouret,Silver,1 Mar 2017,30 Apr 2018,"$2,695.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF5553,,DVP,DVP10LS1/DVP10PI,,4,1,EI14800015,,SAV,France,Ponant,France,31 Rue Bouret,Silver,1 Mar 2017,30 Apr 2018,"$2,695.00",,,," 2,035.00 ",VF180030 repair/replace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
